filename, language, JavaScript, HTML, Sass, CSS, comment, blank, total
dist\9504308241ab775ccabe.worker.js, JavaScript, 1, 0, 0, 0, 0, 0, 1
dist\app.css, CSS, 0, 0, 0, 383, 0, 20, 403
dist\index.html, HTML, 0, 14, 0, 0, 0, 2, 16
dist\js\app.js, JavaScript, 1, 0, 0, 0, 0, 0, 1
src\app.js, JavaScript, 12, 0, 0, 0, 0, 2, 14
src\assets\gif.js, JavaScript, 4, 0, 0, 0, 2, 2, 8
src\assets\gif.worker.js, JavaScript, 1, 0, 0, 0, 2, 1, 4
src\assets\index.html, HTML, 0, 14, 0, 0, 0, 2, 16
src\controllers\ShortcutHolder\ShortcutHolder.js, JavaScript, 39, 0, 0, 0, 2, 5, 46
src\controllers\ShortcutHolder\index.js, JavaScript, 2, 0, 0, 0, 0, 2, 4
src\controllers\controller.js, JavaScript, 189, 0, 0, 0, 0, 25, 214
src\controllers\index.js, JavaScript, 2, 0, 0, 0, 0, 2, 4
src\controllers\startPageController\StartPage.js, JavaScript, 9, 0, 0, 0, 0, 2, 11
src\controllers\startPageController\index.js, JavaScript, 2, 0, 0, 0, 0, 2, 4
src\controllers\toolsController\Handler\Handler.js, JavaScript, 18, 0, 0, 0, 2, 4, 24
src\controllers\toolsController\Handler\index.js, JavaScript, 2, 0, 0, 0, 0, 2, 4
src\controllers\toolsController\Tool\Tool.js, JavaScript, 54, 0, 0, 0, 0, 10, 64
src\controllers\toolsController\Tool\index.js, JavaScript, 2, 0, 0, 0, 0, 2, 4
src\controllers\toolsController\handlers\bucket\bucketHandler.js, JavaScript, 61, 0, 0, 0, 0, 10, 71
src\controllers\toolsController\handlers\bucket\index.js, JavaScript, 3, 0, 0, 0, 0, 3, 6
src\controllers\toolsController\handlers\eraser\eraserHandlers.js, JavaScript, 45, 0, 0, 0, 2, 13, 60
src\controllers\toolsController\handlers\eraser\index.js, JavaScript, 3, 0, 0, 0, 0, 3, 6
src\controllers\toolsController\handlers\index.js, JavaScript, 21, 0, 0, 0, 0, 3, 24
src\controllers\toolsController\handlers\lighten\index.js, JavaScript, 3, 0, 0, 0, 0, 3, 6
src\controllers\toolsController\handlers\lighten\lighten.js, JavaScript, 34, 0, 0, 0, 3, 7, 44
src\controllers\toolsController\handlers\mirrorPen\index.js, JavaScript, 3, 0, 0, 0, 0, 3, 6
src\controllers\toolsController\handlers\mirrorPen\mirrorPen.js, JavaScript, 90, 0, 0, 0, 1, 24, 115
src\controllers\toolsController\handlers\paintSame\index.js, JavaScript, 3, 0, 0, 0, 0, 3, 6
src\controllers\toolsController\handlers\paintSame\paintSame.js, JavaScript, 30, 0, 0, 0, 1, 8, 39
src\controllers\toolsController\handlers\pen\index.js, JavaScript, 3, 0, 0, 0, 0, 3, 6
src\controllers\toolsController\handlers\pen\pen.js, JavaScript, 52, 0, 0, 0, 0, 20, 72
src\controllers\toolsController\handlers\pipette\index.js, JavaScript, 3, 0, 0, 0, 0, 3, 6
src\controllers\toolsController\handlers\pipette\pipette.js, JavaScript, 29, 0, 0, 0, 4, 7, 40
src\controllers\toolsController\handlers\rectangle\index.js, JavaScript, 3, 0, 0, 0, 0, 3, 6
src\controllers\toolsController\handlers\rectangle\rectangle.js, JavaScript, 96, 0, 0, 0, 5, 20, 121
src\controllers\toolsController\handlers\toolSelection\index.js, JavaScript, 3, 0, 0, 0, 0, 3, 6
src\controllers\toolsController\handlers\toolSelection\toolSelection.js, JavaScript, 17, 0, 0, 0, 0, 3, 20
src\controllers\toolsController\index.js, JavaScript, 2, 0, 0, 0, 0, 2, 4
src\controllers\toolsController\toolsController.js, JavaScript, 154, 0, 0, 0, 1, 30, 185
src\controllers\utils\MyLocalStorage\MyLocalStorage.js, JavaScript, 12, 0, 0, 0, 0, 3, 15
src\controllers\utils\MyLocalStorage\index.js, JavaScript, 2, 0, 0, 0, 0, 2, 4
src\controllers\utils\animation\animation.js, JavaScript, 20, 0, 0, 0, 0, 3, 23
src\controllers\utils\handlers\framesHadlers\handlers.js, JavaScript, 116, 0, 0, 0, 1, 13, 130
src\controllers\utils\handlers\framesHadlers\index.js, JavaScript, 12, 0, 0, 0, 0, 3, 15
src\controllers\utils\handlers\index.js, JavaScript, 7, 0, 0, 0, 0, 3, 10
src\controllers\utils\handlers\previewHandlers\handlers.js, JavaScript, 99, 0, 0, 0, 1, 25, 125
src\controllers\utils\handlers\previewHandlers\index.js, JavaScript, 15, 0, 0, 0, 0, 3, 18
